name,ring,quadrant,isNew,description
GitOps,Trial,Techniques,TRUE,"CoverGo stores the state of the system and application deployment in Git.
Git is always the source of truth for what happens in the system.
If we want to change the system's state, we need to perform a Git operation such as creating a commit or opening a pull request. Git commands and flows control deployments, tests, and rollbacks.
Once the Git state is changed, the cluster state should match what is described in the Git repository.
No hand-rolled deployments, no ad-hoc cluster changes, no live configuration changes are allowed. If a change needs to happen, it must be committed to Git first.
GitOps deployments have several advantages compared to traditional imperative deployments. The main one is that the Git repo represents the system's state, and Git history is essentially the same thing as deployment history. Rollbacks are very easy to perform by simply using a previous Git hash."
Infrastructure as Code,Adopt,Techniques,TRUE,"We are big fans of the Infrastructure as Code (IaC) approach, so we follow and apply as much as possible.
IaC allows us to manage infrastructure with configuration files rather than through a graphical user interface. It helps us build, change, and manage our infrastructure in a safe, consistent, and repeatable way by defining resource configurations that we can version, reuse, and share."
GitHub actions,Adopt,Tools,TRUE,"CoverGo CI\CD is powered by GiHub actions. We like it simplicity, configurability via yml and extreme elasticity. "
Prometheus,Adopt,Tools,FALSE,"Prometheus is responsible for storing all metrics CoverGo collects, including infrastructure, applications, and custom business metrics. "
Grafana,Adopt,Tools,FALSE,Grafana is our dashboarding solution for infrastrcuture and application-related matters
Ingress,Adopt,Tools,FALSE,Ingress is used as a standard component for K8s and takes care of SSL and load-balancing
Helm,Trial,Tools,TRUE,"CoverGo uses helm charts as a part of microservices, and service owners are responsible for it. Helm allows us to reach incredible speed in deployments and avoid dependency issues.  "
LastPass,Adopt,Tools,TRUE,"Security starts with day-to-day operations. Every employee in CoverGo uses LastPass to store and share sensitive information like credentials, ssh keys, TOTP, card numbers, Wi-Fi passwords and other. "
Terraform,Trial,Tools,TRUE,"We use Terraform as our IaC tool. It lets us define resources and infrastructure in human-readable, declarative configuration files and manages our infrastructure's lifecycle. Using Terraform has several advantages over manually managing your infrastructure:
·     Terraform can manage infrastructure on multiple cloud platforms.
·     The human-readable configuration language helps us write infrastructure code quickly.
·     Terraform's state allows us to track resource changes throughout our deployments.
·     We can commit our configurations to version control to safely collaborate on infrastructure."
Grafana Loki,Trial,Tools,FALSE,Grafana Loki is our main tool to store logs and aggregate them across all environments 
Grafana Tempo,Trial,Tools,TRUE,Grafana Tempo is our main tracing tool to see calls chains between microservices
TDD,Trial,Techniques,TRUE,Test Driven Development is the way we think aout and develop software. CoverGo teams see TDD as efficiency increase practice reducing total efforts required to ship and maintain a feature or component.
Docker compose,Hold,Tools,FALSE,"We use docker compose during local development as a fast way to launch the whole environment for integration tests, complex feature development requiring several services running, or debugging. "
OSS,Adopt,Techniques,FALSE,CoverGo is committed to the usage of Open Source tooling and components. We believe in OSS culture and like to participate as active user and contributor to the projects we use. It gives us more flexibility and freedom of choice. CoverGo publishes some of the internal components as OSS as well. 
Cloud-agnostic,Adopt,Techniques,FALSE,CoverGo system is cloud-agnostic and can be hosted on any cloud provider or even on-premises depending on the client's needs. Kubernetes act as a layer of compatibility. The ability to avoid vendor lock-in allows us to become more flexible to adapts to our clients. 
Hardware keys,Adopt,Techniques,TRUE,"To protect the most precious or powerful accounts, CoverGo uses UbiKey instead of TOTP. Keys are handled by responsible members or stored in a safe box with fingerprint access. "
Jenkins,Hold,Tools,FALSE,Jenkins is used to power up some CI\CD tasks like synthetic monitoring and deployment of components
GFlows,Trial,Tools,TRUE,"Gflows is an OSS tool for GitHub action flows templating. CoverGo uses GFlows to build, spread and manage workflows across different teams and repositories. Thanks to GFlows, we can enjoy strict versioning and proper upgrades. It includes CI\CD security patches management for our GitHub action workflows."
